"date","spend","revenue","visits","impressions","clicks","conversions","pageviews","unique_visitors","upo","campaign_category","ad_group","ad_product","last_touch_channel","size","color","device","subchannel","video_spend","video_impressions","link_clicks","engagements","video_views","video_completions","year","month","day","content","spend_per_view","view_rate","video_completion_rate","link_click_rate","roi","roas"
"2020-08-10 00:00:00",1.0,3.14,1129.0,0.0,784.0,0.0,2563.0,932.0,1.4,"general","hats","beanie hat","video","l","blue","tablet","video",199.77,1.0,160.0,1.0,1313.0,1.0,2020.0,8.0,10.0,"branding",0.15214775323686217,1313.0,7.616146230007616E-4,0.12185833968012186,2.14,3.14
"2020-08-10 00:00:00",258.72,507.0,2092.0,15.0,1.0,97.0,10597.0,1699.0,1.5,"general","pants","denim jeans","video","xxl","blue","desktop","video",1.0,104784.0,252.0,1.0,1.0,1124.0,2020.0,8.0,10.0,"prospecting",1.0,9.543441746831577E-6,1124.0,252.0,248.27999999999997,1.9596474953617808
"2020-08-10 00:00:00",34.94,76.27,2085.0,0.0,1.0,0.0,6359.0,1830.0,2.4,"general","pants","workwear pants","video","m","black","mobile","video",1.0,1.0,1.0,1.0,743.0,669.0,2020.0,8.0,10.0,"branding",0.0013458950201884253,743.0,0.9004037685060565,0.0013458950201884253,41.33,2.1828849456210646
"2020-08-11 00:00:00",1.0,2.57,1060.0,9945.0,540.0,0.0,6095.0,991.0,2.6,"general","outerwear","men's jacket","video","l","yellow","tablet","video",208.35,1.0,5.0,1.0,1.0,494.0,2020.0,8.0,11.0,"prospecting",208.35,1.0,494.0,5.0,1.5699999999999998,2.57
"2020-08-11 00:00:00",1.0,3.41,2194.0,0.0,321.0,370.0,5576.0,2085.0,2.4,"general","pants","denim jeans","video","xl","green","desktop","video",1.0,3768.0,396.0,1.0,1.0,121.0,2020.0,8.0,11.0,"prospecting",1.0,2.653927813163482E-4,121.0,396.0,2.41,3.41
"2020-08-13 00:00:00",1.0,3.27,1760.0,0.0,1.0,0.0,4345.0,1494.0,2.2,"general","outerwear","hooded sweatshirt","video","xxl","black","mobile","video",1.0,1208.0,559.0,695.0,1.0,1.0,2020.0,8.0,13.0,"prospecting",1.0,8.278145695364238E-4,1.0,559.0,2.27,3.27
"2020-08-13 00:00:00",400.0,1075.99,2393.0,19694.0,1.0,79.0,8991.0,2085.0,1.7,"general","hats","beanie hat","video","xxl","blue","mobile","video",71.64,101289.0,295.0,1.0,1.0,1122.0,2020.0,8.0,13.0,"branding",71.64,9.872740376546319E-6,1122.0,295.0,675.99,2.689975
"2020-08-14 00:00:00",781.66,1321.43,995.0,0.0,400.0,500.0,5470.0,830.0,1.2,"general","outerwear","hooded sweatshirt","video","xl","blue","mobile","video",437.07,68011.0,1.0,1.0,1.0,10.0,2020.0,8.0,14.0,"branding",437.07,1.4703503844966255E-5,10.0,1.0,539.7700000000001,1.690543202927104
"2020-08-14 00:00:00",687.29,1354.7,1488.0,0.0,1.0,222.0,7386.0,1405.0,1.4,"general","footwear","women's boots","video","s","black","mobile","video",1.0,1.0,71.0,1.0,798.0,611.0,2020.0,8.0,14.0,"branding",0.0012531328320802004,798.0,0.7656641604010025,0.08897243107769423,667.4100000000001,1.971074801030133
"2020-08-15 00:00:00",1.0,1.7,1782.0,0.0,1.0,401.0,8329.0,1628.0,2.8,"general","pants","denim jeans","video","m","black","tablet","video",1076.91,1.0,1.0,821.0,267.0,454.0,2020.0,8.0,15.0,"prospecting",4.033370786516854,267.0,1.700374531835206,0.003745318352059925,0.7,1.7
"2020-08-16 00:00:00",1.0,2.28,900.0,0.0,367.0,0.0,5141.0,880.0,2.3,"general","pants","denim jeans","video","l","white","tablet","video",1.0,57567.0,151.0,1.0,528.0,1557.0,2020.0,8.0,16.0,"branding",0.001893939393939394,0.009171921413309709,2.9488636363636362,0.2859848484848485,1.2799999999999998,2.28
"2020-08-17 00:00:00",1.0,3.14,832.0,59136.0,1.0,0.0,1934.0,683.0,2.5,"general","pants","workwear pants","video","m","red","mobile","video",1.0,1.0,987.0,1.0,1.0,737.0,2020.0,8.0,17.0,"prospecting",1.0,1.0,737.0,987.0,2.14,3.14
"2020-08-17 00:00:00",1.0,2.05,1838.0,41275.0,1.0,412.0,9106.0,1626.0,1.4,"general","hats","beanie hat","video","xxl","white","tablet","video",1.0,71845.0,443.0,817.0,270.0,1.0,2020.0,8.0,17.0,"branding",0.003703703703703704,0.0037580903333565316,0.003703703703703704,1.6407407407407408,1.0499999999999998,2.05
"2020-08-18 00:00:00",1.0,1.81,2283.0,0.0,1.0,0.0,11985.0,2161.0,2.0,"general","outerwear","men's jacket","video","l","yellow","tablet","video",1.0,18198.0,1160.0,1.0,1.0,204.0,2020.0,8.0,18.0,"prospecting",1.0,5.495109352676118E-5,204.0,1160.0,0.81,1.81
